date,Open,High,Low,Close,Volume
2025-09-22 14:47:00,6.5016,6.5016,6.5016,6.5016,100.0
2025-09-22 14:49:00,6.5,6.51,6.5,6.5,935.0
2025-09-22 14:50:00,6.46,6.46,6.46,6.46,300.0
2025-09-22 14:52:00,6.45,6.45,6.45,6.45,300.0
2025-09-22 14:53:00,6.4588,6.4588,6.4588,6.4588,157.0
2025-09-22 14:54:00,6.46,6.46,6.45,6.45,551.0
2025-09-22 14:59:00,6.5,6.5,6.5,6.5,1127.0
2025-09-22 15:08:00,6.53,6.53,6.53,6.53,453.0
2025-09-22 15:09:00,6.52,6.52,6.52,6.52,571.0
2025-09-22 15:10:00,6.45,6.45,6.45,6.45,100.0
2025-09-22 15:20:00,6.475,6.4751,6.475,6.4751,250.0
2025-09-22 15:22:00,6.4724,6.4724,6.4724,6.4724,101.0
2025-09-22 15:36:00,6.48,6.48,6.48,6.48,2634.0
2025-09-22 15:43:00,6.45,6.45,6.45,6.45,407.0
2025-09-22 15:44:00,6.45,6.45,6.45,6.45,307.0
2025-09-22 15:46:00,6.49,6.49,6.49,6.49,124.0
2025-09-22 15:48:00,6.4758,6.4758,6.4758,6.4758,407.0
2025-09-22 15:49:00,6.5,6.5,6.5,6.5,1878.0
2025-09-22 15:53:00,6.474,6.474,6.474,6.474,211.0
2025-09-22 15:54:00,6.47,6.47,6.45,6.45,930.0
2025-09-22 15:56:00,6.4816,6.4816,6.4,6.405,6086.0
2025-09-22 15:57:00,6.36,6.36,6.36,6.36,157.0
2025-09-22 15:58:00,6.3501,6.3587,6.3501,6.3586,5814.0
2025-09-22 15:59:00,6.3501,6.3504,6.33,6.33,4204.0
2025-09-22 16:00:00,6.33,6.37,6.33,6.37,912.0
2025-09-22 16:03:00,6.28,6.28,6.28,6.28,35.0
2025-09-22 16:04:00,6.37,6.37,6.37,6.37,2.0
2025-09-22 16:10:00,6.37,6.37,6.37,6.37,2.0
2025-09-22 16:34:00,6.46,6.46,6.46,6.46,20.0
2025-09-22 17:08:00,6.5,6.5,6.5,6.5,2.0
2025-09-22 17:13:00,6.5,6.5,6.5,6.5,20.0
2025-09-22 18:25:00,6.29,6.29,6.29,6.29,51.0
2025-09-22 19:59:00,6.37,6.37,6.37,6.37,9.0
2025-09-23 04:03:00,6.37,6.37,6.37,6.37,1.0
2025-09-23 07:00:00,6.66,6.82,6.37,6.45,2290.0
2025-09-23 07:09:00,6.35,6.35,6.35,6.35,10.0
2025-09-23 07:25:00,6.41,6.44,6.34,6.38,500.0
2025-09-23 07:30:00,6.44,6.48,6.41,6.41,558.0
2025-09-23 07:38:00,6.49,6.49,6.49,6.49,20.0
2025-09-23 07:42:00,6.34,6.35,6.34,6.35,718.0
2025-09-23 08:00:00,6.37,6.51,6.29,6.51,332.0
2025-09-23 08:07:00,6.28,6.28,6.28,6.28,11.0
2025-09-23 08:12:00,6.4,6.4,6.35,6.35,1004.0
2025-09-23 08:25:00,6.4,6.4,6.4,6.4,34.0
2025-09-23 08:31:00,6.38,6.38,6.38,6.38,99.0
2025-09-23 09:00:00,6.4,6.4,6.4,6.4,500.0
2025-09-23 09:10:00,6.37,6.37,6.37,6.37,1.0
2025-09-23 09:28:00,6.37,6.37,6.37,6.37,84.0
2025-09-23 09:29:00,6.37,6.4,6.37,6.4,44.0
2025-09-23 09:30:00,6.37,6.4,6.37,6.4,2860.0
2025-09-23 09:32:00,6.4162,6.455,6.41,6.455,642.0
2025-09-23 09:34:00,6.41,6.41,6.4,6.4,1676.0
2025-09-23 09:35:00,6.37,6.37,6.34,6.34,1542.0
2025-09-23 09:36:00,6.31,6.33,6.31,6.33,725.0
2025-09-23 09:37:00,6.2873,6.2873,6.28,6.28,815.0
2025-09-23 09:38:00,6.2798,6.33,6.235,6.24,9576.0
2025-09-23 09:39:00,6.34,6.3675,6.1405,6.23,17685.0
2025-09-23 09:46:00,6.2399,6.2399,6.19,6.19,10199.0
2025-09-23 09:47:00,6.1812,6.1812,6.1812,6.1812,430.0
2025-09-23 09:48:00,6.16,6.3,6.1,6.245,11572.0
2025-09-23 09:49:00,6.28,6.39,6.25,6.32,5549.0
2025-09-23 09:50:00,6.2,6.3,6.2,6.3,1385.0
2025-09-23 09:52:00,6.34,6.355,6.3,6.355,931.0
2025-09-23 09:53:00,6.32,6.32,6.32,6.32,260.0
2025-09-23 09:55:00,6.31,6.355,6.288,6.288,4119.0
2025-09-23 09:56:00,6.28,6.32,6.28,6.31,862.0
2025-09-23 09:57:00,6.28,6.32,6.28,6.32,343.0
